Sector	Organization Name (CN)	Industry	Rank	Total Amout	Donation Amount (mil ￥)	Donation Month	Donation Date	Sumif(origin=dest)	Donation Origin (Province)	Donation Origin (City)	Donation Destination (Province)	Donation Destination (City)	Name of Recipient	Name of Recipient (CN)	Donation for what program?	Type of Recipient	Donation Cause	Donation Vehicle	Form of Donation	Pledge? (Y/N)	Donation Link	Donation Link 2	Donation Link 3	Other Donation Link(s)
Private	北京科艺创新文化发展有限公司	Service	11	205	200	5	13	200	Beijing	Beijing	Beijing	Beijing		中国科学院大学	新成立的艺术中心	University or University Foundation	Education	Corporation	Cash	N	http://news.ucas.ac.cn/index.php?option=com_content&view=article&id=191375&catid=340&Itemid=176			
Individual	韩国龙	Real Estate	12	202	202	12	28	202	Fujian	Fuzhou	Fujian	Fuzhou		福建省石竹慈善基金会		Non-Government Foundation	Unspecified	Individual	Cash	N	http://www.fj.chinanews.com/news/2017/2017-01-06/371035.shtml			
Private	歌尔股份有限公司	Manufacturing	13	200	200	5	3	0	Shandong	Weifang	Beijing	Beijing	Beihang University	北京航空航天大学	用于前沿科学研究及高新技术成果产业化、高端人才国际化培养、优秀学生资助与奖励、学生创新创业空间建设等多个方面。	University or University Foundation	Education	Corporation	Cash	N	http://news.buaa.edu.cn/zhxw/96178.htm	http://www.wfgx.gov.cn/GXQXXGK/CYFWZX/201605/t20160506_1632858.html		
Private	浙江通策控股集团有限公司	Real Estate	13	200	200	2	1	0	Zhejiang	Hangzhou	Beijing	Beijing		中国科学院大学存济医学院	用于建设存济医学院大楼	University or University Foundation	Education	Corporation	Cash	N	http://news.ucas.ac.cn/index.php/ywsd/190227-%E5%9B%BD%E7%A7%91%E5%A4%A7%E5%AD%98%E6%B5%8E%E5%8C%BB%E5%AD%A6%E9%99%A2%E8%8E%B7%E9%80%9A%E7%AD%96%E9%9B%86%E5%9B%A2%E4%B8%A4%E4%BA%BF%E5%85%83%E6%8D%90%E8%B5%A0			
Private	海亮集团有限公司	Manufacturing	13	200	250	12	30	250	Zhejiang	Hangzhou	Zhejiang	Hangzhou	Zhejiang University Education Foundation	浙江大学教育基金会	用于支持浙江大学肿瘤学科的建设和医学人才的培养，以及加强医院的医疗技术力量。	University or University Foundation	Public Health	Corporation	Cash	N	http://www.hailiang.com/index.php/news/info/480	http://hznews.hangzhou.com.cn/jingji/content/2017-01/04/content_6435763.htm		
Individual	董钧	Internet and Communication Technology	13	200	200	4	25	200	Beijing	Beijing	Beijing	Beijing		清华大学	修业基金	University or University Foundation	Education	Individual	Cash	N	http://news.tsinghua.edu.cn/publish/thunews/9649/2015/20150425194923862142119/20150425194923862142119_.html			
Private	搜狗公司	Internet and Communication Technology	17	180	180	4	22	180	Beijing	Beijing	Beijing	Beijing	Tsinghua University	清华大学	用于联合成立“清华大学天工智能计算研究院”，该研究院将致力于人工智能领域的前沿技术研究	University or University Foundation	Education	Corporation	Cash	N	http://www.tsinghua.edu.cn/publish/thunews/9650/2016/20160422190003926571146/20160422190003926571146_.html	http://news.xinhuanet.com/fortune/2016-04/23/c_1118714132.htm		
Private	建业住宅集团	Real Estate	18	150	150	12	26	150	Henan	Zhengzhou	Henan	Zhengzhou		河南省慈善总会	定向捐赠	Non-Government Foundation	Unspecified	Corporation	Cash	N	http://www.henancishan.org/PublicExchange/2200/1.html?p=1&di=2016-01-01&da=2017-01-01&m1=1000000&t=0&b=0&k=			
Private	广东省吴小兰慈善基金会	Manufacturing	19	120	120	7	31	120	Guangdong	Guangzhou	Guangdong	Shenzhen	Shenzhen University	深圳大学	建吴章玉楼	University or University Foundation	Education	Individual Foundation	Cash	N	http://gd.qq.com/a/20160801/007397.htm	http://www.qsjly.cn/Item/Show.asp?m=1&d=33345		
Individual	吴少勋	Consumer	20	114	113	1	28	113	Hubei	Daye	Hubei	Wuhan		湖北慈善总会	大冶体育公园	Government Charitable Organization	Social Welfare & Poverty Alleviation	Individual	Cash	N	http://www.hbcf.org.cn/NewsShow/1145/5641.html	http://www.ceohui.com/wap/article/index.html?aid=5956		
